Word,Length,Consonants,Vowels,Syllables,Origin,Favourite
Enemy,5,3,2,3,Middle English,
Hello,5,3,2,2,Old High German,
Porch,5,4,1,1,Middle English,
Bruce,5,3,2,1,,
Chick,5,4,1,1,Middle English,
Eater,5,2,3,2,,
Ditch,5,4,1,1,Middle English,
Japan,5,3,2,2,,
Acorn,5,3,2,2,Middle English,
Elect,5,3,2,2,Latin,
Gable,5,3,2,2,Old French,
Naive,5,2,3,1,French,
Smoke,5,3,2,1,Middle English,
Angry,5,4,1,2,Middle English,
Twice,5,3,2,1,,
Ridge,5,3,2,1,Middle English,
Cards,5,4,1,1,,
Disco,5,3,2,2,French,
Frank,5,4,1,1,Old French,
Lungs,5,4,1,1,,
Bobby,5,4,1,2,,
Sable,5,3,2,2,Middle English,
Layer,5,3,2,1,Middle English,
Bring,5,4,1,1,Middle English,
Hobby,5,4,1,2,Middle English,
Proof,5,3,2,1,Middle English,
While,5,3,2,1,Old English,
Shame,5,3,2,1,Middle English,
Slice,5,3,2,1,Middle English,
Hazel,5,3,2,2,Middle English,
Merry,5,4,1,2,Middle English,
Tater,5,3,2,2,,
Tough,5,3,2,1,Middle English,
Tical,5,3,2,2,Thai,
Float,5,3,2,1,Middle English,
Speed,5,3,2,1,Middle English,
Nepal,5,3,2,2,,
Attic,5,3,2,2,,
Still,5,4,1,1,Middle English,
Thorn,5,4,1,1,Middle English,
Curry,5,4,1,2,Tamil,
Sword,5,4,1,1,Middle English,
Bride,5,3,2,1,Old English,
Aging,5,3,2,2,,
Diary,5,3,2,3,Latin,
Tweak,5,3,2,1,Middle English,
Bloom,5,3,2,1,Middle English,
Beans,5,3,2,1,,
Bagel,5,3,2,2,Yiddish,
Frost,5,4,1,1,Old High German,
Ruler,5,3,2,2,,
Sandy,5,4,1,2,Middle English,
Logic,5,3,2,2,Old French,
Email,5,2,3,2,French,
Shoes,5,3,2,1,,
Booty,5,3,2,2,Old French,
Cliff,5,4,1,1,Old English,
Style,5,4,1,2,Old French,
Awful,5,3,2,2,,
Utter,5,3,2,2,Old English,
Bones,5,3,2,1,,
Aroma,5,2,3,3,Late Latin,
Curly,5,4,1,2,,
Nerve,5,3,2,2,Medieval Latin,
Romeo,5,2,3,2,,
Brook,5,3,2,1,Middle English,
Equal,5,2,3,2,Latin,
Adore,5,2,3,2,Old French,
Cobra,5,3,2,2,Portuguese,
Donut,5,3,2,2,,
Rings,5,4,1,1,,
Dozen,5,3,2,2,Old French,
Shock,5,4,1,1,Middle Dutch,
Straw,5,4,1,1,Old English,
Salve,5,3,2,2,Old English,
Ghana,5,3,2,2,Mande,
Smash,5,4,1,1,English,
Loyal,5,3,2,1,Old French,
Chill,5,4,1,1,Old English,
Gland,5,4,1,1,Latin,
Reign,5,3,2,1,Middle English,
Dying,5,4,1,2,,
Quilt,5,3,2,1,,
Abash,5,3,2,2,Middle English,
Mommy,5,4,1,2,,
Couch,5,3,2,1,Old French,
Flock,5,4,1,1,Middle English,
Ahead,5,2,3,2,,
Miami,5,2,3,3,,
Flash,5,4,1,1,Middle English,
Index,5,3,2,2,Latin,
Ankle,5,3,2,2,Middle English,
Blind,5,4,1,1,Old English,
Issue,5,2,3,2,Old French,
Argue,5,2,3,1,Old French,
Blame,5,3,2,1,Middle English,
Halle,5,3,2,2,Middle High German,
Skill,5,4,1,1,Middle English,
Weary,5,3,2,2,Old English,
Drone,5,3,2,1,Middle English,
Joint,5,3,2,1,Middle English,
Jeans,5,3,2,1,Middle English,
Abase,5,2,3,2,Middle English,
Sixth,5,4,1,1,,
Bryan,5,4,1,1,,
